"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"795","火葬・墓地管理業",""
"7951","火葬業","主として死体の火葬を業務とする事業所をいう。
"
"7952","墓地管理業","墓地の管理を行う事業所をいう。
"
"796","冠婚葬祭業",""
"7961","葬儀業","主として死体埋葬準備，葬儀執行を業務とする事業所をいう。
霊きゅう自動車で死体を運搬する事業所は大分類Ｈ－運輸業，郵便業［4411］に分類される。
"
"7962","結婚式場業","主として挙式，披露宴の挙行など婚礼のための施設・サービスを提供する事業所をいう。
"
"7963","冠婚葬祭互助会","婚礼のための施設・サービスの提供及び葬儀執行の業務を一体として行い，これらの便益の提供を受けるものから，当該便益等の提供に先立って，対価の一部又は全部を二カ月以上の期間にわたり，かつ，三回以上に分割して受領する事業所をいう。
"
"799","他に分類されない生活関連サービス業",""
"7991","食品賃加工業","家庭消費用として原料個人持ちの粉及び穀類などを賃加工する事業所をいう。
主として商業者，ホテル，レストランなどから委託を受けて，精穀，製粉など穀類の賃加工を行う事業所は大分類Ｅ－製造業［096］に分類される。
"
"7992","結婚相談業，結婚式場紹介業","主として結婚相手の紹介，婚礼のための相談などを行う事業所及び婚礼のための施設の紹介，あっせんを行う事業所をいう。
"
"7993","写真プリント，現像・焼付業","主としてデジタルカメラ等の画像データのプリント又はフィルム現像，焼付，引伸及びその取次を行う事業所並びにフィルム複写を行う事業所をいう。
"
"7999","他に分類されないその他の生活関連サービス業","主として他に分類されない個人サービスを提供する事業所をいう。
"
"80","娯楽業","総　　　説
　この中分類には，映画，演劇その他の興行及び娯楽を提供する事業所並びにこれに附帯するサービスを提供する事業所が分類される。
　映画・ビデオ制作業に附帯するサービスを提供する事業所は大分類Ｇ－情報通信業［4169］に分類される。
"
"800","管理，補助的経済活動を行う事業所（80娯楽業）",""
"8000","主として管理事務を行う本社等","主として娯楽業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"8009","その他の管理，補助的経済活動を行う事業所","主として娯楽業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"801","映画館",""
"8011","映画館","アトラクションのあるなしにかかわらず商業的に映画の公開を行う事業所をいう。
主として映画館の賃貸を行う事業所も本分類に含まれる。
"
"802","興行場（別掲を除く），興行団",""
"8021","劇場","演劇を提供する事業所及びその附属の劇団，歌劇団，オーケストラ並びに劇場を持つ興行団をいう。
主として劇場を賃貸する事業所も本分類に含まれる。
契約により出演する独立の劇団，楽団は細分類8023，8024に分類される。
"
"8022","興行場","落語，講談，浪曲，見世物，軽業（かるわざ），野球，相撲などの娯楽を提供する事業所及び興行場を持つ興行団をいう。
主として興行場を賃貸する事業所も本分類に含まれる。
興行場を持たない興行団は細分類8023～8025に分類される。
"
"8023","劇団","契約により出演又は自ら公演し演劇を提供する事業所，俳優及び演劇興行を請負う事業所をいう。
劇場附属の劇団及び俳優並びに劇場を持つ劇団は細分類8021に分類される。
"
"8024","楽団，舞踏団","契約により音楽，舞踊などの出演又は自ら公演する事業所をいう。
主として音楽，舞踊などの個人教授を行う事業所は大分類Ｏ－教育，学習支援業［824］に分類される。
"
"8025","演芸・スポーツ等興行団","契約により出演又は自ら公演し，落語，浪曲，見世物，野球，相撲，ボクシング，レスリングなどの娯楽を提供する他に分類されない事業所をいう。
興行場附属及び興行場を持つものは細分類8022に分類される。
"
"803","競輪・競馬等の競走場，競技団",""
"8031","競輪場","競輪の娯楽を提供する事業所をいう。
競輪場を賃貸する事業所も本分類に含まれる。
競輪の施行及び実施をする事業所は細分類8034に分類される。
"
"8032","競馬場","競馬の娯楽を提供する事業所をいう。
競馬場を賃貸する事業所も本分類に含まれる。
競馬の施行及び実施をする事業所は細分類8035に分類される。
"
"8033","自動車・モータボートの競走場","小型自動車，モータボートの競走の娯楽を提供する競走場をいう。
競走場を賃貸する事業所も本分類に含まれる。
小型自動車，モータボート等の競走の施行及び実施をする事業所は細分類8036に分類される。
"
"8034","競輪競技団","競輪を施行又は実施する事業所をいう。
競輪選手の登録，訓練などの競技に附帯する業務も本分類に含まれる。
"
"8035","競馬競技団","競馬を施行又は開催する事業所をいう。
馬主，馬などの登録，調教師，騎手の免許，訓練などの競馬に附帯する業務も本分類に含まれる。
"
"8036","自動車・モータボートの競技団","小型自動車，モータボートの競走の施行及び実施をする事業所をいう。
選手，自動車の登録などの競技に附帯する業務も本分類に含まれる。
"
"804","スポーツ施設提供業",""
"8041","スポーツ施設提供業（別掲を除く）","主として興行的でないスポーツ（アマチュア競技）を行うための施設を提供する事業所をいう。
体育館及びフィットネスクラブ並びにゴルフ競技，ボウリング競技及びテニス競技を行うための施設を提供する事業所は本分類に含まれない。
主として興行的スポーツのための施設を提供する事業所は小分類802［8022］に分類される。
"
"8042","体育館","各種のスポーツを必要に応じて室内で行うことができるように多目的に設備された施設を提供する事業所をいう。
"
"8043","ゴルフ場","ゴルフ競技を行うための施設を提供する事業所をいう。
ゴルフの練習施設を提供する事業所は細分類8044に分類される。
"
"8044","ゴルフ練習場","ゴルフの練習施設を提供する事業所をいう。
"
"8045","ボウリング場","ボウリング競技を行うための施設を提供する事業所をいう。
"
"8046","テニス場","テニス競技を行うための施設を提供する事業所をいう。
"
"8047","バッティング・テニス練習場","バッティング及びテニスの練習施設を提供する事業所をいう。
"
"8048","フィットネスクラブ","室内プール，トレーニングジム，スタジオなどの運動施設を有し，会員に提供する事業所をいう。
"
"805","公園，遊園地",""
"8051","公園","樹木，池等の自然環境を有して，娯楽を提供し，又は休養を与える事業所をいう。
遊園地は細分類8052に分類される。
"
"8052","遊園地（テーマパークを除く）","各種遊戯施設により娯楽を提供する事業所をいう。
"
"8053","テーマパーク","文化，歴史，科学などに関する特定のテーマに基づき施設全体の環境づくりを行い，各種遊戯施設により娯楽を提供する事業所をいう。
"
"806","遊戯場",""
"8061","ビリヤード場","玉突きを行うための施設を提供する事業所をいう。
"
"8062","囲碁・将棋所","囲碁，将棋などを行うための施設を提供する事業所をいう。
"
"8063","マージャンクラブ","マージャンを行うための施設を提供する事業所をいう。
"
"8064","パチンコホール","パチンコ，パチスロ，アレンジボール，じゃん球などを行うための施設を提供し，貸し球又はコインを景品と交換する事業所をいう。
"
"8065","ゲームセンター","主としてスロットマシン，テレビゲーム機などの遊戯を行うための施設を提供する事業所をいう。
"
"8069","その他の遊戯場","ビンゴ，射的など他に分類されない遊戯を行うための施設を提供する事業所をいう。
"
"809","その他の娯楽業",""
"8091","ダンスホール","ダンスを行うための施設を提供する事業所をいう。
ダンスホールを賃貸する事業所も本分類に含まれる。
"
"8092","マリーナ業","主としてヨット，モーターボート，水上オートバイなどのプレジャーボートを保管するための施設を提供する事業所をいう。
"
"8093","遊漁船業","主として船舶により乗客を漁場に案内し，釣りなどの方法により魚類その他の水産動植物を採捕させる事業所をいう。
"
"8094","芸ぎ業","芸ぎなどの娯楽を提供する職業的個人及びこれらを有する事業所をいう。
"
"8095","カラオケボックス業","個室において，主としてカラオケを行うための施設を提供する事業所をいう。
"
"8096","娯楽に附帯するサービス業","プレイガイド，場外馬券・車券の取次販売など他に分類されない娯楽に附帯するサービスを提供する事業所をいう。
"
"8099","他に分類されない娯楽業","他に分類されない娯楽を提供する事業所をいう。
"
"O","教育，学習支援業","総　　　説
　この大分類には，学校教育を行う事業所，学校教育の支援活動を行う事業所，学校教育を除く組織的な教育活動を行う事業所，学校教育の補習教育を行う事業所及び教養，技能，技術などを教授する事業所が分類される。
　通信教育事業，学習塾，図書館，博物館，植物園などの事業所も本分類に含まれる。
　スポーツを行うための施設を提供する事業所は大分類Ｎ－生活関連サービス業，娯楽業［80］に分類される。
"
"81","学校教育","総　　　説
　この中分類には，所定の学科課程を教授する事業所及び学校教育の支援を行う事業所が分類される。
"
"810","管理，補助的経済活動を行う事業所（81学校教育）",""
"8101","管理，補助的経済活動を行う事業所","主として学校教育の事業所を統括する本部等として，自法人組織の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，契約，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"811","幼稚園",""
"8111","幼稚園","幼児を保育し，その心身を発達させるための教育を行う事業所をいう。
"
"812","小学校",""
"8121","小学校","義務教育として行われる普通教育のうち基礎的なものを行う事業所をいう。
"
"813","中学校",""
"8131","中学校","小学校における教育を基礎として，義務教育として行われる普通教育を行う事業所をいう。
"
"814","高等学校，中等教育学校",""
"8141","高等学校","中学校における教育を基礎として，高度な普通教育及び専門教育を行う事業所をいう。
学校教育法による通信教育を行う事業所も本分類に含まれる。
"
"8142","中等教育学校","小学校における教育を基礎として，義務教育として行われる普通教育並びに高度な普通教育及び専門教育を一貫して行う事業所をいう。
学校教育法による通信教育を行う事業所も本分類に含まれる。
"
"815","特別支援学校",""
"8151","特別支援学校","視覚障害者，聴覚障害者，知的障害者，肢体不自由者又は病弱者（身体虚弱者を含む）に対して，幼稚園，小学校，中学校又は高等学校に準ずる教育を行い，併せてその障害を補うために必要な知識技能を授ける事業所をいう。
"
"816","高等教育機関",""
"8161","大学","学術の中心として，広く知識を授けるとともに，深く専門の学芸を教授研究し，知的，道徳的及び応用的能力を展開させるための教育を行う事業所をいう。
学校教育法による通信教育を行う事業所も本分類に含まれる。
短期大学は細分類8162に分類される。
"
"8162","短期大学","深く専門の学芸を教授研究し，職業又は実際生活に必要な能力を育成するための教育を行う事業所をいう。
学校教育法による通信教育を行う事業所も本分類に含まれる。
"
"8163","高等専門学校","深く専門の学芸を教授し，職業に必要な能力を育成するための教育を行う事業所をいう。
"
"817","専修学校，各種学校",""
"8171","専修学校","職業若しくは実際生活に必要な能力を育成し又は教養の向上を図るための教育を行う事業所をいう。
"
"8172","各種学校","学校教育法による学校教育に類する教育を行う事業所をいう。
"
"818","学校教育支援機関",""
"8181","学校教育支援機関","高等教育機関の評価，センター試験の実施など学校教育の支援活動を行う事業所をいう。
"
"819","幼保連携型認定こども園",""
"8191","幼保連携型認定こども園","子どもに対する学校としての教育及び児童福祉施設としての保育並びに保護者に対する子育て支援事業を行う事業所をいう。
"
"82","その他の教育，学習支援業","総　　　説
　この中分類には，学校教育を除く組織的な教育活動を行う事業所，学校教育の補習教育を行う事業所及び教養，技能，技術などを教授する事業所が分類される。
"
"820","管理，補助的経済活動を行う事業所（82その他の教育，学習支援業）",""
"8200","主として管理事務を行う本社等","主としてその他の教育，学習支援業の事業所を統括する本社等として，自企業の経営を推進するための人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"8209","その他の管理，補助的経済活動を行う事業所","主としてその他の教育，学習支援業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"821","社会教育",""
"8211","公民館","市町村その他一定区域内の住民のために，実際生活に即する教育，学術及び文化に関する各種の活動を行う事業所をいう。
"
"8212","図書館","図書，記録その他必要な資料を収集し，整理し，保存して，一般公衆又は特定人の利用に供する事業所をいう。
"
"8213","博物館，美術館","歴史，芸術，民俗，産業，自然科学等に関する資料を収集し，保管し，展示して一般公衆の利用に供する事業所をいう。
"
"8214","動物園，植物園，水族館","一般公衆に対して動植物を観覧させる事業所をいう。
"
"8215","青少年教育施設","心身ともに健全な青少年を育成するために青少年教育活動を行う事業所をいう。
"
"8216","社会通信教育","通信の方法により一定の教育計画の下に教材，補助教材等を受講者に送付し，これに基づき，設問解答，添削指導，質疑応答などを行う事業所をいう。
ただし，学校教育法による通信教育は本分類に含まれない。
"
"8219","その他の社会教育","他に分類されない社会教育を行う事業所をいう。
"
"822","職業・教育支援施設",""
"8221","職員教育施設・支援業","官公庁，企業若しくは事業所が業務遂行のため所属職員等を対象として教育・研修を行う事業所又は官公庁，企業若しくは事業所からの委託を受けて業務遂行のため所属職員等の教育・研修を行う事業所をいう。
"
"8222","職業訓練施設","公的に職業能力開発，技能講習などを行う事業所をいう。
"
"8229","その他の職業・教育支援施設","他に分類されない職業・教育支援施設を営む事業所をいう。
"
"823","学習塾",""
"8231","学習塾","小学生，中学生，高校生などを対象として学校教育の補習教育又は学習指導を行う事業所をいう。
"
"824","教養・技能教授業",""
"8241","音楽教授業","主として音楽に関する技能・技術を教授する事業所をいう。
"
"8242","書道教授業","主として書道を教授する事業所をいう。
"
"8243","生花・茶道教授業","主として生花・茶道を教授する事業所をいう。
"
"8244","そろばん教授業","主としてそろばんを教授する事業所をいう。
"
"8245","外国語会話教授業","主として外国語会話を教授する事業所をいう。
"
"8246","スポーツ・健康教授業","スポーツ技能，健康，美容などの増進のため，指導者が柔道，水泳，ヨガ，体操などを教授することを主たる目的とする事業所をいう。
ただし，教授が行われている場合でもスポーツを行うための施設を提供することを主とした事業所は，大分類Ｎ－生活関連サービス業，娯楽業〔804〕に分類される。
"
"8249","その他の教養・技能教授業","他に分類されない教養，技能，技術などを教授する事業所をいう。
"
"829","他に分類されない教育，学習支援業",""
"8299","他に分類されない教育，学習支援業","他に分類されない教育，学習支援業を営む事業所をいう。
"
"P","医療，福祉","総　　　説
　この大分類には，医療，保健衛生，社会保険，社会福祉及び介護に関するサービスを提供する事業所が分類される。
　医療業とは，医師又は歯科医師等が患者に対して医業又は医業類似行為を行う事業所及びこれに直接関連するサービスを提供する事業所をいう。
　保健衛生とは，保健所，健康相談施設，検疫所（動物検疫所，植物防疫所を除く）など保健衛生に関するサービスを提供する事業所をいう。
　社会保険・社会福祉・介護事業とは，公的年金，公的医療保険，公的介護保険，労働災害補償などの社会保険事業を行う事業所及び児童，老人，障害者などに対して社会福祉，介護等に関するサービスを提供する事業所をいう。

　　　医療，福祉と他産業との関係
(1) 　卸売業，小売業との関係
　　　主として医師又は歯科医師が発行する処方せんに基づいて，医薬品を調剤する事業所は大分類Ｉ－卸売業，小売業［6033］に分類される。
(2) 　金融業，保険業との関係
　　　社会保険以外の保険業を行う事業所，保険会社及び保険契約者に対して保険サービスを提供する事業所は大分類Ｊ－金融業，保険業［67］に分類される。
"
"83","医療業","総　　　説
　この中分類には，医師又は歯科医師等が患者に対して医業又は医業類似行為を行う事業所及びこれに直接関連するサービスを提供する事業所が分類される。
"
"830","管理，補助的経済活動を行う事業所（83医療業）",""
"8300","主として管理事務を行う本社等","主として医療業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務等の現業以外の業務を行う事業所をいう。
"
"8309","その他の管理，補助的経済活動を行う事業所","主として医療業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"831","病院",""
"8311","一般病院","20人以上の患者を入院させるための施設を有して医師又は歯科医師が医業を行う事業所をいう。
ただし，精神病床のみを有するものは細分類8312に分類される。
"
"8312","精神科病院","20人以上の精神病患者を入院させるための施設のみを有して医師が医業を行う事業所をいう。
"
"832","一般診療所",""
"8321","有床診療所","19人以下の患者を入院させるための施設を有して医師が医業を行う事業所をいう。
"
"8322","無床診療所","患者を入院させるための施設を有しないで，又は往診のみによって医師が医業を行う事業所をいう。
"
"833","歯科診療所",""
"8331","歯科診療所","患者を入院させるための施設を有しないで，若しくは往診のみによって，又は19人以下の患者を入院させるための施設を有して歯科医師が歯科医業を行う事業所をいう。
"
"834","助産・看護業",""
"8341","助産所","助産師がその業務（病院又は診療所において行うものを除く）を行う事業所をいう。助産師が出張のみによってその業務を行う場合も含む。
"
"8342","看護業","看護師又は准看護師であって，公共職業安定所若しくは派出看護師会に求職登録を行ってあっせんされ，看護業務を行うもの，又は独立して看護を業とするものをいう。
"
"835","療術業",""
"8351","あん摩ﾏｯｻｰｼﾞ指圧師・はり師・きゅう師・柔道整復師の施術所","あん摩マッサージ指圧師，はり師，きゅう師及び柔道整復師がその業務を行う事業所をいう。これらの者が出張のみによってその業務を行う場合も含む。
"
"8359","その他の療術業","温熱療法，光熱療法，電気療法，刺激療法などの医業類似行為を業とする者がその業務を行う事業所をいう。これらの者が出張のみによってその業務を行う場合も含む。
"
"836","医療に附帯するサービス業",""
"8361","歯科技工所","歯科医師又は歯科技工士が業として特定人に対する歯科医療の用に供する補てつ物，充てん物又は矯正装置の作成，修理又は加工を行う事業所をいう。
"
"8369","その他の医療に附帯するサービス業","主として臓器のあっせん，医療に係る検体検査など医療業に附帯するサービスを提供する事業所をいう。
"
"84","保健衛生","総　　　説
　この中分類には，保健所，健康相談施設，検疫所（動物検疫所，植物防疫所を除く）など保健衛生に関するサービスを提供する事業所が分類される。
"
"840","管理，補助的経済活動を行う事業所（84保健衛生）",""
"8400","主として管理事務を行う本社等","主として保健衛生の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務等の現業以外の業務を行う事業所をいう。
"
"8409","その他の管理，補助的経済活動を行う事業所","主として保健衛生における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"841","保健所",""
"8411","保健所","各種の疾病の予防，健康管理，健康の増進，環境衛生の改善など，公衆衛生の向上及び増進を図るために都道府県又は市若しくは特別区が設置している保健所をいう。
"
"842","健康相談施設",""
"8421","結核健康相談施設","結核の予防，治療などについて相談指導を行う事業所をいう。
"
"8422","精神保健相談施設","精神病など精神障害の予防，治療，社会復帰などの精神保健について相談指導を行う事業所をいう。
"
"8423","母子健康相談施設","母子保健に関する各種の相談に応ずるとともに，母性，乳児及び幼児の保健についての相談指導を行う事業所をいう。
"
"8429","その他の健康相談施設","他に分類されない健康相談を行う事業所をいう。
"
"849","その他の保健衛生",""
"8491","検疫所（動物検疫所，植物防疫所を除く）","国内に常在しない感染症の病原体が船舶又は航空機を介して国内に侵入することを防止するとともに，船舶又は航空機に関して感染症予防に必要な措置などを行う事業所をいう。
"
"8492","検査業","疫病の予防，健康管理，健康の増進，環境衛生の改善などに必要な検査，試験を行う事業所をいう。
"
"8493","消毒業","感染症の予防など保健衛生上必要な消毒を行う事業所をいう。
農作物の害虫駆除を行う事業所は大分類Ａ－農業，林業［013］に，建物の消毒及び白ありなどの害虫駆除を行う事業所はＲ－サービス業（他に分類されないもの）［9229］に分類される。
"
"8499","他に分類されない保健衛生","他に分類されない保健衛生に関するサービスの提供を行う事業所をいう。
"
"85","社会保険・社会福祉・介護事業","総　　　説
　この中分類には，社会保険，社会福祉又は介護事業を行う事業所及び更生保護事業を行う事業所が分類される。
"
"850","管理，補助的経済活動を行う事業所（85社会保険・社会福祉・介護事業）",""
"8500","主として管理事務を行う本社等","主として社会保険・社会福祉・介護事業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務等の現業以外の業務を行う事業所をいう。
"
"8509","その他の管理，補助的経済活動を行う事業所","主として社会保険・社会福祉・介護事業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"851","社会保険事業団体",""
"8511","社会保険事業団体","公的年金，公的医療保険，公的介護保険，労働災害補償などの社会保険事業を行う事業所をいう。
"
"852","福祉事務所",""
"8521","福祉事務所","都道府県，市町村及び特別区が設置する福祉に関する事務所をいう。
"
"853","児童福祉事業",""
"8531","保育所","日日保護者の委託を受けて，乳児又は幼児を保育する福祉事業を行う事業所をいう。
"
"8539","その他の児童福祉事業","乳児，幼児，少年に対する他に分類されない福祉事業を行う事業所をいう。
"
"854","老人福祉・介護事業",""
"8541","特別養護老人ホーム","常時介護を必要とし，在宅介護が困難な老人又はこれに準じる状態の要介護者に対して介護サービスを提供する事業所をいう。
"
"8542","介護老人保健施設","症状が安定期にある要介護者に対し，看護，医学的管理の下における介護及び機能訓練その他必要な医療ケアを行う事業所をいう。
"
"8543","通所・短期入所介護事業","要介護者等を通所又は短期入所させ，介護等の日常生活上の世話や機能訓練を行う事業所をいう。
"
"8544","訪問介護事業","要介護者等の居宅において，入浴，食事等の介護やその他の日常生活上の世話を行う事業所をいう。
"
"8545","認知症老人グループホーム","比較的安定した状態にある認知症の要介護者に対し，共同生活を営む住居において介護等の日常生活上の世話や機能訓練を行う事業所をいう。
"
"8546","有料老人ホーム","入居一時金等の料金を徴収して老人を入居させ，食事の提供又はその他の日常生活上必要な便宜を供与する事業所をいう。
"
"8549","その他の老人福祉・介護事業","他に分類されない老人福祉・介護事業を行う事業所をいう。
"
"855","障害者福祉事業",""
"8551","居住支援事業","施設等に入所・入居して生活する障害者につき，入浴，排せつ又は食事の介護，身体機能又は生活能力の向上や日常生活の世話，就労に必要な知識及び能力の向上のために必要な訓練その他の便宜を供与する事業所をいう。
"
"8559","その他の障害者福祉事業","障害者に対する他に分類されない福祉事業を行う事業所をいう。
"
"859","その他の社会保険・社会福祉・介護事業",""
"8591","更生保護事業","保護観察対象者，刑務所出所者等の更生を助けることを目的とする更生保護事業を行う事業所をいう。
"
"8599","他に分類されない社会保険・社会福祉・介護事業","他に分類されない社会保険・社会福祉・介護事業を行う事業所をいう。
労働者のための福利厚生事業並びに特定団体所属員及びその家族に対する福利厚生事業を行う事業所は，その行う主な事業内容によりそれぞれに分類される。
"
"Q","複合サービス事業","総　　　説
　この大分類には，信用事業，保険事業又は共済事業と併せて複数の大分類にわたる各種のサービスを提供する事業所であって，法的に事業の種類や範囲が決められている郵便局，農業協同組合等が分類される。

　　　郵　便　局
　郵便局とは，郵便事業，銀行窓口業務及び保険窓口業務の全てを行うとともに，市町村等からの委託を受けることなどにより，複数の大分類にわたる各種サービスを提供する事業所をいう。

　　　協同組合
　協同組合とは，信用事業又は共済事業と併せて経営指導事業，購買事業，厚生事業等を複合的に行う農林水産業協同組合及び事業協同組合の事業所をいう。
　なお，単一の事業を行う協同組合の事業所は，その行う事業によりそれぞれの産業に分類される。また，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"86","郵便局","総　　　説
　この中分類には，郵便事業，銀行窓口業務及び保険窓口業務の全てを行うとともに，市町村等からの委託を受けることなどにより，複数の大分類にわたる各種サービスを提供する郵便局及び郵便局受託業を行う事業所が分類される。
"
"860","管理，補助的経済活動を行う事業所（86郵便局）",""
"8601","管理，補助的経済活動を行う事業所","主として郵便局の本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援・特定顧客管理，調査・研究開発，生産・プロジェクト管理，支社・支店等の管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達，出荷・販売等の現業以外の業務を行う事業所，又は郵便局における活動を促進するため，同一企業の他事業所に対して，輸送，保管，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"861","郵便局",""
"8611","郵便局","郵便事業，銀行窓口業務及び保険窓口業務の全てを行うとともに，市町村等からの委託を受けることなどにより，複合的に各種サービスを提供する事業所をいう。
"
"862","郵便局受託業",""
"8621","簡易郵便局","日本郵便株式会社等からの委託を受けて，複合的に各種サービスを提供する事業所をいう。
"
"8629","その他の郵便局受託業","他に分類されない郵便局受託業を行う事業所をいう。
"
"87","協同組合（他に分類されないもの）","総　　　説
　この中分類には，信用事業又は共済事業と併せて，他の大分類にわたる各種のサービスを提供する農林水産業協同組合及び事業協同組合の事業所が分類される。
"
"870","管理，補助的経済活動を行う事業所（87協同組合）",""
"8701","管理，補助的経済活動を行う事業所","主として協同組合の事業所を統括する本部等として，自組合組織の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援・特定顧客管理，調査・研究開発，生産・プロジェクト管理，支部・支店等の管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達，出荷・販売等の現業以外の業務を行う事業所，又は協同組合における活動を促進するため，同一組合組織の他事業所に対して，輸送，保管，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"871","農林水産業協同組合（他に分類されないもの）",""
"8711","農業協同組合（他に分類されないもの）","信用事業又は共済事業と併せて，経営指導事業，購買事業，厚生事業等を複合的に行う他に分類されない農業協同組合，農業協同組合連合会（以下「農業協同組合」という）の事業所をいう。
単一の事業を行う農業協同組合の事業所はその行う業務によりそれぞれの産業に分類される。
なお，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"8712","漁業協同組合（他に分類されないもの）","信用事業又は共済事業と併せて，経営指導事業，購買事業，厚生事業等を複合的に行う他に分類されない漁業協同組合，漁業協同組合連合会（以下「漁業協同組合」という）の事業所をいう。
単一の事業を行う漁業協同組合の事業所はその行う業務によりそれぞれの産業に分類される。
なお，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"8713","水産加工業協同組合（他に分類されないもの）","信用事業又は共済事業と併せて，経営指導事業，購買事業，厚生事業等を複合的に行う他に分類されない水産加工業協同組合及び水産加工業協同組合連合会（以下「水産加工業協同組合」という）の事業所をいう。
単一の事業を行う水産加工業協同組合の事業所はその行う業務によりそれぞれの産業に分類される。
なお，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"8714","森林組合（他に分類されないもの）","信用事業又は共済事業と併せて，経営指導事業，購買事業，厚生事業等を複合的に行う他に分類されない森林組合及び森林組合連合会（以下「森林組合」という）の事業所をいう。
単一の事業を行う森林組合の事業所はその行う業務によりそれぞれの産業に分類される。
なお，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
"872","事業協同組合（他に分類されないもの）",""
"8721","事業協同組合（他に分類されないもの）","信用事業又は共済事業と併せて，経営指導事業，検査事業，厚生事業等を複合的に行う他に分類されない事業協同組合及び事業協同組合連合会（以下「事業協同組合」という）の事業所をいう。
単一の事業を行う事業協同組合の事業所はその行う業務によりそれぞれの産業に分類される。
なお，複数の事業を行う事業所であっても，信用事業又は共済事業を行っていない場合は，その事業所で行う事業のうち，主要な経済活動によりそれぞれの産業に分類される。
"
